KOD_MASCO,SECTION_1D,DESCRIPTION_ENGLISH,DESCRIPTION_MALAY
221238,2,Pakar Pediatrik Hematologi,"Paediatrician, Haematology"
221239,2,Pakar Pediatrik Kardiologi,"Paediatrician, Cardiology"
221240,2,Pakar Pediatrik Nefrologi,"Paediatrician, Nephrology"
221241,2,Pakar Pediatrik Neurologi,"Paediatrician, Neurology"
221242,2,Pakar Pediatrik Onkologi,"Paediatrician, Oncology"
221243,2,Pakar Pediatrik Pernafasan,"Paediatrician, Respiratory"
221244,2,Pakar Perubatan,Physician
221245,2,Pakar Perubatan Dermatologi,"Physician, Dermatology"
221246,2,Pakar Perubatan Endokrinologi,"Physician, Endocrinology"
221247,2,Pakar Perubatan Gastroenterologi,"Physician, Gastroenterology"
221248,2,Pakar Perubatan Hematologi,"Physician, Haematology"
221249,2,Pakar Perubatan Kardiologi,"Physician, Cardiology"
221250,2,Pakar Perubatan Nefrologi,"Physician, Nephrology"
221251,2,Pakar Perubatan Neurologi,"Physician, Neurology"
221252,2,Pakar Perubatan Reumatologi,"Physician, Rheumatology"
221253,2,"Pakar Perubatan, Perubatan Keluarga","Physician, Family Medicine"
221254,2,"Pakar Perubatan, Perubatan Pernafasan","Physician, Respiratory Medicine"
221255,2,Pakar Podiatri,Podiatrist
221256,2,Pakar Prostetik,Prostheist
221257,2,Pakar Radiologi,Radiologist
221258,2,Pakar Radiologi Diagnostik,"Radiologist, Diagnostic"
221259,2,Pakar Radiologi Intervensional,"Radiologist, Interventional"
221260,2,Pakar Radiologi Perubatan Nuklear,"Radiologist, Nuclear Medicine"
221261,2,Pakar Radiologi Radioterapi,"Radiologist, Radiotherapy"
221262,2,Pakar Urologi,Urologist
221263,2,Pakar Venereologi,Venereologist
221264,2,Pakar Osteopati,Osteopathist
221265,2,Pakar Aplikasi (POCT/Ujian Titik Penjagaan),Application Specialist (POCT/Point-of-care testing)
221266,2,Pakar Aplikasi (Hematologi),Application Specialist (Hematology)
221267,2,Pakar Aplikasi (Biokimia),Application Specialist (Biokimia)
221268,2,Pegawai Perubatan Pakar Gred UD55,Specialist Medical Officer Grade UD55
221269,2,Pakar Klinik Pematuhan Terapi Ubat (MTA),Medication Therapy Adherence Clinic (MTAC) Specialist
222101,2,Jururawat Gred U41,Nurse Grade U41
222102,2,Jururawat Profesional,Professional Nurse
222103,2,Jururawat Klinik,Clinical Nurse
222104,2,Jururawat Daerah,District Nurse
222105,2,Jururawat Anestetik,Nurse Anaesthetist
222106,2,Pengajar Jururawat ,Nurse Educator
222107,2,Pengamal Jururawat,Nurse Practitioner
222108,2,Jururawat Kesihatan Awam,Public Health Nurse
222109,2,Jururawat Pakar,Specialist Nurse
222110,2,Instruktor Jururawat,Nurse Instructor
222111,2,Jururawat,Nurse
222112,2,Ketua jururawat,Sister
222113,2,Jururawat (Kesihatan Awam),Nurse (Public Health)
222114,2,Jururawat Bilik Bedah,Operation Theatre Nurse
222115,2,Jururawat Khas,Specialized Nurse
222116,2,Jururawat Ortopedik,Orthopedic Nurse
222117,2,Jururawat Pediatrik,Paediatric Nurse
222118,2,Jururawat Psikiatri,Psychiatric Nurse
222119,2,Jururawat Kesihatan Pekerjaan,Occupational Health Nurse
222120,2,Jururawat Perindustrian,Industrial Nurse
222201,2,Jururawat Perbidanan Profesional,Professional Midwife
223101,2,Profesional Pengamal Perubatan Traditional,Professional Traditional Medical Practitioner
223102,2,Ahli Perubatan Traditional,Traditional Medical Specialist
223103,2,Ahli Akupuntur,Acupuncturist
223104,2,Ahli Homeopati,Homeopath
223105,2,Ahli Naturopati,Naturopath
223106,2,Pengamal Ayurvedik,Ayurvedic Practitioner
223107,2,Pengamal Perubatan Herba,Herbal Medicine Practitioner
224101,2,Paramedik,Paramedic
224102,2,Paramedik Penjagaan Awal,Advanced Care Paramedic
224103,2,Pegawai Klinikal (Paramedik),Clinical Officer (Paramedical)
224104,2,Pakar Bedah Lapangan,Feldscher
224105,2,Paramedik Penjagaan Utama,Primary Care Paramedic
225101,2,Pegawai Veterinar Gred GV41,Veterinary Officer Grade GV41
225102,2,Pakar Veterinar,Veterinarian
225103,2,Pakar Epidemiologi Veterinar,Veterinary Epidemiologist
225104,2,Pakar Bedah Veterinar,Veterinary Surgeon
225105,2,"Pakar Veterinar, Kesihatan Awam",Public Health Veterinarian
225106,2,"Pakar Veterinar, Pusat Sembelihan",Abattoir Veterinarian
225107,2,"Pakar Veterinar, Pembedahan","Veterinarian, Surgery"
225108,2,Pegawai Veterinar,Veterinary Officer
226101,2,Pegawai Pergigian Gred UG41,Dental Officer Grade UG41
226102,2,Doktor Pergigian,Dentist
226103,2,Doktor Pergigian Pedodontik,"Dentist, Pedodontistry"
226104,2,Pakar Pedodontik,Paedodontist
226105,2,Doktor Pergigian Ortodontik,"Dentist, Orthodontistry"
226106,2,Pakar Ortodontik,Orthodontist
226107,2,Doktor Pergigian Prostodontik,"Dentist, Prosthodontistry"
226108,2,Pakar Prostodontik,Prosthodontist
226109,2,Doktor Pergigian Periodontik,"Dentist, Periodontistry"
226110,2,Pakar Periodontik,Periodontist
226111,2,Doktor Pergigian Pembedahan Mulut,"Dentist, Oral Surgery"
226112,2,"Pakar Bedah Mulut, Pergigian",Oral Dentistry Surgeon
226113,2,Stomatologist,Stomatologist
226114,2,Pengamal Pergigian,Dental Practitioner
226115,2,Pakar Bedah Pergigian,Dental Surgeon
226116,2,Pakar Endodontik,Endodontist
226117,2,Pakar Bedah Mulut dan Maksilofasial,Oral and Maxillofacial Surgeon
226118,2,Ahli Patologi Mulut,Oral Pathologist
226201,2,Pegawai Farmasi Gred UF41,Pharmacist Grade UF41
226202,2,Ahli Farmasi,Pharmacist
226203,2,Ahli Farmasi Perindustrian,Industrial Pharmacist
226204,2,Ahli Farmasi Runcit,Retail Pharmacist
226205,2,Ahli Farmasi Hospital,Hospital Pharmacist
226206,2,Ahli Kimia Pendispensan,Dispensing Chemist
226207,2,Pegawai Farmasi Gred UF44,Pharmacist Grade UF44
226208,2,Juruanalisis Farmakokinetik,Pharmacokinetic Analyst
226301,2,Pegawai Kesihatan Persekitaran Gred U41,Environmental Health Officer Grade U41
226302,2,Pegawai Hal Ehwal Buruh - Kesihatan dan Keselamatan Pekerjaan,Labour Affairs Officer - Occupational Safety and Health
226303,2,Pegawai Sanitasi,Sanitarian
226304,2,Ahli Teknologi Pengurusan Sisa Berbahaya,Hazardous Waste Management Technologist
226305,2,Pegawai Standard Buruh - Kesihatan dan Keselamatan Pekerjaan,Labour Standards Officer - Occupational Safety and Health
226306,2,Pegawai Kesihatan dan Keselamatan Pekerjaan,Occupational  Health and Safety Officer
226307,2,Pegawai Penguatkuasaan Kesihatan Persekitaran,Environmental Health Enforcement Officer
226308,2,Ahli Teknologi Kesihatan dan Keselamatan Persekitaran,Environmental Safety and Health Technologist
226309,2,Pegawai Kesihatan Persekitaran,Environmental Health Officer
226310,2,Pegawai Persekitaran,Environmental Officer
226311,2,Pegawai Kesihatan dan Keselamatan,Safety and Health Officer
226312,2,Ahli Teknologi Kesihatan dan Keselamatan,Safety and Health Technologist
226313,2,Pegawai Kesihatan Industri,Industrial Health Officer
226314,2,Pegawai Keselamatan Industri - Kesihatan dan Keselamatan Pekerjaan,Industrial Safety Officer - Occupational Safety and Health
226315,2,Pegawai Keselamatan dan Kesihatan Pekerjaan,Occupational Safety and Health Officer
226316,2,Pegawai Kesihatan Pekerjaan,Occupational Health Officer
226317,2,Ahli Teknologi Kebersihan Pekerjaan,Occupational Hygiene Technologist
226318,2,Pegawai Keselamatan Pekerjaan,Occupational Safety Officer
226319,2,Pegawai Kuarantin - Kesihatan Awam,Quarantine Officer - Public Health
226320,2,Penasihat Kesihatan dan Keselamatan Pekerjaan,Occupational Safety and Health  Adviser
226321,2,Penjaga Kesihatan Pekerjaan,Occupational Hygienist
226322,2,Pakar Lindungan Radiasi,Radiation Protection Expert
226323,2,Pegawai Keselamatan dan Kesihatan Alam Sekitar ,Safety and Health Environmental Officer 
226324,2,Penguji Gas Bertauliah,Authorised Gas Tester
226325,2,Pengapit Kualiti Udara Dalaman (IAQ),Indoor Air Quality (IAQ) Assessor
226326,2,Orang Yang Kompeten Bunyi Bising,Noise Competent Person
226327,2,Pengapit Kimia,Chemical Assessor
226328,2,Orang Kompeten Pengurusan Sisa,Waste Management Competence Person
226329,2,Juruaudit Bangunan,Building Auditor
226330,2,Pegawai Teknologi Makanan Gred C41,Food Technology Officer Grade C41
226331,2,Eksekutif Halal,Halal Executive
226332,2,"Eksekutif Halal, Pengilangan Makanan Halal","Halal Executive, Halal Food Manufacturing"
226333,2,"Eksekutif Halal, Rumah Sembelih","Halal Executive, Slaughterhouse"
226334,2,"Eksekutif Halal, Pemprosesan Daging","Halal Executive, Meat Processing"
226335,2,"Eksekutif Halal, Operasi Logistik","Halal Executive, Logistics Operation"
226336,2,"Eksekutif Halal, Pengeluaran Ternakan Halal","Halal Executive, Halal Livestock Production"
226337,2,Ahli Teknologi Makanan dan Minuman,Food and Drinks Technologist
226338,2,Ahli Teknologi Makanan,Food Technologist
226339,2,"Ahli Teknologi Makanan, Pengilangan Makanan Halal","Food Technologist, Halal Food Manufacturing"
226340,2,"Pegawai Penguatkuasaan, Industri Halal","Enforcement Officer, Halal Industry"
226341,2,Jurutera Tapak Pelupusan,Landfill Engineer
226342,2,Perunding Teknikal Geobahaya,Geohazard Technical Consultant
226343,2,Orang Yang Kompeten Lif,Lift Competent Person
226344,2,Orang Kompeten Major Hazard,Major Hazard Competent Person
226345,2,Penaksir Risiko Bising,Noise Risk Assessor
226346,2,"Eksekutif Persekitaran, Kesihatan dan Keselamatan ","Environmental, Safety and Health Executive"
226347,2,"Jurutera Kualiti, Alam Sekitar dan Keselamatan & Kesihatan (QES)","Quality, Environment and Safety & Health (QESH) Engineer"
226401,2,Pegawai Pemulihan Perubatan Gred U41,Medical Rehabilitation Officer Grade U41
226402,2,Jurupulih Perubatan,Medical Therapist
226403,2,Jurupulih Urutan,Massage Healer
226404,2,Jurupulih Fizikal,Physical Therapist
226405,2,Jurupulih Otot,Mascular Therapist
226406,2,Tukang Urut Jurupulih Anggota,Physiotherapy Masseur
226407,2,Tukang Urut Terapeutik,Therapeutic Masseur
226408,2,Jurupulih Kesihatan,Health Therapist
226409,2,Juruterapi Fizikal Geriatrik,Geriatric Physical Therapist
226410,2,Juruterapi Fizikal Pediatrik,Paediatric Physical Therapist
226411,2,Juruterapi Fizikal Ortopedik,Orthopaedic Physical Therapist
226412,2,Pengajar Jurupulih Anggota,"Instructor, Physiotherapist"
226413,2,Pegawai Jurupulih Anggota Gred 23,Physiotherapy Officer Grade 23
226414,2,Jurupulih Anggota,Physiotherapist
226501,2,Pegawai Dietetik Gred U41,Dietetics Officer Grade U41
226502,2,Pakar Dietetik,Dietician
226503,2,Pakar Dietetik Hospital,Hospital Dietician
226504,2,Pakar Dietetik Kesihatan Awam,Public Health Dietician
226505,2,Pakar Dietetik Terapeutik,Therapeutic Dietician
226506,2,Pakar Nutrisi,Nutritionist
226507,2,Pakar Nutrisi Haiwan,Animal Nutritionist
226508,2,Pakar Nutrisi Kesihatan Awam,Public Health Nutritionist
226509,2,Pakar Nutrisi Penyelidikan,Research Nutritionist
226510,2,Perunding Dietetik,Dietetic Consultant
226511,2,Perunding Pemprosesan Makanan,Food Processing Consultant
226512,2,Pakar Dietetik Klinik,Clinical Dietician
226513,2,Pakar Dietetik Penyajian Makanan,Food Serving Dietician
226514,2,Pegawai Penyediaan Makanan Gred C41,Food Preparation Officer Grade C41
226515,2,Pegawai Dietetik,Dietetics Officer
226516,2,Ahli Nutrisi Penyelidikan dan Pembangunan ,Aqua Nutrionist Research and Development
226601,2,Pegawai Audiologi,Audiologists
226602,2,Jurupulih Pertuturan,Speech Therapist
226603,2,Pakar Ortoepi,Orthoepist
226604,2,Pakar Ortofoni,Orthophonist
226605,2,Jurupulih Bahasa,Language Therapist
226606,2,Ahli Patologi Pertuturan,Speech Pathologist
226701,2,Pegawai Optometri Gred U41,Optometry Officer Grade U41
226702,2,Pakar Optometri,Optometrist
226703,2,Pakar Optik,Optician
226704,2,Pakar Optik Oftalmik,Ophthalmic Optician
226705,2,Pakar Ortoptik,Orthoptist
226801,2,Jurupulih Pekerjaan,Occupational Therapist
226802,2,Pegawai Jurupulih Kerja Gred 23,Occupational Therapy Officer Grade 23
226803,2,Pengurus Kes Gred 23,Case Manager Grade 23
226901,2,Juru X-Ray Gred U41,X-Ray Technician Grade U41
226902,2,Pengajar Gred U41,Instructor Grade U41
226903,2,Jurupulih Orang Buta,Blind Therapist
226904,2,Perfusionist,Perfusionist
226905,2,Penolong Pegawai Perubatan Gred U41,Assistant Medical Officer Grade U41
226906,2,Chiropractor,Chiropractor
226907,2,Osteopath,Osteopath
226908,2,Chiropodist,Chiropodist
226909,2,Penyelaras Ujian Klinikal,Clinical Trials Coordinator
226910,2,Juruanalisis Penjagaan Kesihatan,Healthcare Analyst
231101,2,Pensyarah Universiti Gred DS45,University Lecturer Grade DS45
231102,2,Pensyarah Perubatan Gred DU51P,Medical Lecturer Grade DU51P
231103,2,Pensyarah UiTM Gred DM41,UiTM Lecturer Grade DM41
231104,2,Penolong Pensyarah UiTM Gred DM29,UiTM Assistant Lecturer Grade DM29
231105,2,Pensyarah Pergigian Gred DUG51P,Dental Lecturer Grade DUG51P
231106,2,Pegawai Pendidikan Pengajian Tinggi Gred DH41,Higher Learning Education Officer Grade DH41
231107,2,Pegawai Pendidikan Pengajian Tinggi Gred DH29,Higher Learning Education Officer Grade DH29
231108,2,Pensyarah,Lecturer
231109,2,Tutor,Tutor
231110,2,Profesor,Professor
231111,2,Pensyarah Kolej,"Lecturer, College"
231112,2,Pensyarah Politeknik,"Lecturer, Polytechnic"
231113,2,Pensyarah Universiti,"Lecturer, University"
231114,2,Profesor Universiti,"Professor, University"
231115,2,Profesor Kolej,"Professor, College"
231116,2,Tutor Universiti,"Tutor, University"
231117,2,Pensyarah Farmasi Gred DUF45,Pharmacy Lecturer Grade DUF45
231118,2,Pegawai Pendidikan Pengajian Tinggi Gred DH31,Higher Learning Education Officer Grade DH31
231119,2,Pegawai Pendidikan Pengajian Tinggi Gred DH33,Higher Learning Education Officer Grade DH33
231120,2,Pegawai Pendidikan Pengajian Tinggi Gred DH39,Higher Learning Education Officer Grade DH39
231121,2,Pegawai Pendidikan Pengajian Tinggi Gred DH43,Higher Learning Education Officer Grade DH43
231122,2,Pegawai Pendidikan Pengajian Tinggi Gred DH47,Higher Learning Education Officer Grade DH47
231123,2,Pegawai Pendidikan Pengajian Tinggi Gred DH51,Higher Learning Education Officer Grade DH51
231124,2,Pegawai Pendidikan Pengajian Tinggi Gred DH53,Higher Learning Education Officer Grade DH53
231125,2,Pensyarah UiTM Gred DM45,UiTM Lecturer Grade DM45
231126,2,Pensyarah UiTM Gred DM51,UiTM Lecturer Grade DM51
231127,2,Pensyarah UiTM Gred DM53,UiTM Lecturer Grade DM53
231128,2,Pensyarah Universiti Gred DS51,University Lecturer Grade DS51
231129,2,Pensyarah Universiti Gred DS53,University Lecturer Grade DS53
231130,2,Pensyarah Perubatan Gred DU51,Medical Lecturer Grade DU51
231131,2,Pensyarah Perubatan Gred DU53,Medical Lecturer Grade DU53
231132,2,Pensyarah Pergigian Gred DUG51,Dental Lecturer Grade DUG51
231133,2,Pensyarah Pergigian Gred DUG53,Dental Lecturer Grade DUG53
231134,2,Pensyarah Farmasi Gred DUF51,Pharmacy Lecturer Grade DUF51
231135,2,Pensyarah Farmasi Gred DUF53,Pharmacy Lecturer Grade DUF53
231136,2,Pensyarah UiTM Gred Khas C,UiTM Lecturer Grade Khas C
231137,2,Pensyarah Universiti Gred Khas C,University Lecturer Grade Khas C
231138,2,Pensyarah Perubatan Gred DU55,Medical Lecturer Grade DU55
231139,2,Pensyarah Perubatan Gred Khas C,Medical Lecturer Grade Khas C
231140,2,Pensyarah Pergigian Gred DUG55,Dental Lecturer Grade DUG55
231141,2,Pensyarah Pergigian Gred Khas C,Dental Lecturer Grade Khas C
231142,2,Pensyarah Farmasi Gred Khas C,Pharmacy Lecturer Grade Khas C
231143,2,Pensyarah Multimedia,Multimedia Lecturer
232101,2,Guru Teknik,"Teacher, Technic"
232102,2,Guru Vokasional,"Teacher, Vocational"
233101,2,Pegawai Perkhidmatan Pendidikan Siswazah Gred DG41,Graduate Education Services Officer Grade DG41
233102,2,Guru Pendidikan Menengah,Secondary Education Teacher
233103,2,Pegawai Guru Siswazah,Graduate Teacher Officer
233104,2,Guru Pra-universiti,Pre-University Teacher
233105,2,Pegawai Perkhidmatan Pendidikan Gred DG41,Education Services Officer Grade DG41
233106,2,Guru Ekonomi Rumah Tangga,"Teacher, Home Economics"
234101,2,Pegawai Perkhidmatan Pendidikan Lepasan Diploma Gred DGA29,"Post-Diploma Education Service, Officer Grade DGA29"
234102,2,Guru Sekolah Rendah,Primary School Teacher
234103,2,Pegawai Perkhidmatan Pendidikan Gred DG29,Education Services Assistant Officer Grade DG29
234201,2,Guru Pra-sekolah Rendah,Pre-Primary School Teacher
234202,2,Guru Tadika,Kindergarten Teacher
234203,2,Guru Pra-sekolah,Pre-school Teacher
234204,2,Guru Pendidikan Awal Kanak-Kanak,Early Childhood Educator
234205,2,Guru Taska,"Teacher, Nursery"
235101,2,Guru Muzik,Music Teacher
235102,2,Guru Vokal,Singing Teacher
235201,2,Guru Seni Halus,Fine Arts Teacher
235202,2,Guru Arca,Sculpture Teacher
235203,2,Guru Lukisan,Painting Teacher
235301,2,Guru Peragaan,Modeling Teacher
235302,2,Guru Tari,Dance Teacher
235303,2,Guru Drama,Drama Teacher
236101,2,Guru Bahasa Gred DG41,Language Teacher Grade DG41
236102,2,Guru Bahasa Intensif,Intensive Language Teacher
236103,2,Guru Pendidikan Migrasi,Migrant Education Teacher
236104,2,Guru Bahasa Praktikal,Practical Language Teacher
236105,2,Guru Bahasa Kedua,Second Language Teacher
236106,2,Guru Bahasa,Language Teacher
237101,2,Ustaz/Ustazah,Ustaz/Ustazah
237102,2,Guru Pengajian Islam,Islamic Education Teacher
237103,2,Guru Pengajian Agama Lain,Other Religious Education Teacher
238101,2,Pegawai Latihan Vokasional Gred DV41,Vocational Training Officer Grade DV41
238102,2,Pengajar Latihan Kemahiran,SkillS Training Trainer
238103,2,Penolong Pegawai Latihan Vokasional Gred DV29,Assistant Vocational Training Officer Grade DV29
238104,2,Pegawai Latihan Gred E41,Training Officer Grade E41
238105,2,Penolong Pegawai Latihan Gred E29,Assistant Training Officer Grade E29
238106,2,Penolong Pegawai Latihan Vokasional Gred DV35,Assistant Vocational Training Officer Grade DV35
238107,2,Penolong Pegawai Latihan Vokasional Gred DV37,Assistant Vocational Training Officer Grade DV37
238108,2,Penolong Pegawai Latihan Vokasional Gred DV39,Assistant Vocational Training Officer Grade DV39
238109,2,Pegawai Latihan Vokasional Gred DV43,Vocational Training Officer Grade DV43
238110,2,Pegawai Latihan Vokasional Gred DV47,Vocational Training Officer Grade DV47
238111,2,Pegawai Latihan Vokasional Gred DV51,Vocational Training Officer Grade DV51
238112,2,Pegawai Latihan Vokasional Gred DV53,Vocational Training Officer Grade DV53
239101,2,Pembangun Kurikulum,Curriculum Developer
239102,2,Pakar Kaedah Pendidikan,Education Methods Specialist
239103,2,Nazir Sekolah,School Inspector
239104,2,Penilai Sistem Pendidikan,Educational Systems Evaluator
239105,2,Pakar Alat Bantuan Mengajar,Teaching Aid Specialist
239106,2,Pakar Alat Bantuan Mengajar Visual,Visual Teaching Aid Specialist
239107,2,Pakar Pengajaran Audio-Visual,Audio-Visual Teaching Specialist
239108,2,Penyelidik Sistem Pendidikan,Educational Systems Researcher
239109,2,Penasihat Kaedah Pendidikan,Educational Methods Adviser
239110,2,Penyelaras Kurikulum,Curriculum Coordinator
239111,2,Perunding Akademik/Pendidikan,Education/Academic Consultant
239112,2,Pendidik,Educator
239201,2,Guru Pendidikan Khas Untuk Orang Pekak,"Teacher, Special Education For The Deaf"
239202,2,Guru Pendidikan Khas Untuk Orang Bisu,"Teacher, Special Education For The Dumb"
239203,2,Guru Pendidikan Khas Untuk Orang Buta,"Teacher, Special Education For The Blind"
239204,2,Guru Pendidikan Khas Untuk Orang Cacat Akal,"Teacher, Special Education For The Mentally Handicapped"
239205,2,Guru Pendidikan Khas Untuk Orang Cacat Anggota,"Teacher, Special Education For The Physically Handicapped"
239206,2,Guru Pemulihan Profesional,Professional Remedial Teacher
239207,2,Guru Pembelajaran Pengajian Khas Untuk Orang Cacat,Learning Disability Special Education Teacher
239208,2,Guru Bantuan Pembelajaran,Learning Support Teacher
239209,2,Guru Pemulihan,Remedial Teacher
239210,2,Guru Pendidikan Khas,Special Education Teacher
239301,2,Fasilitator Arahan Satelit,Satellite-Instruction Facilitator
239302,2,Jurulatih Komputer,Computer Trainer
239303,2,Jurulatih Perisian,Software Trainer
239901,2,Pegawai Kesatria Gred S41,Kesatria Officer Grade S41
239902,2,Kaunselor Pendidikan,Educational Counsellor
239903,2,Kaunselor Pelajar Vokasional,Vocational Student Counsellor
239904,2,Guru Pendidikan Dewasa,"Teacher, Adult Education"
239905,2,Kaunselor Sekolah,School Counsellor
239906,2,Guru Tuisyen,Tuition Teacher
239907,2,Guru Sukan,Sport Teacher
239908,2,Guru Sekolah Swasta,Private School Teacher
239909,2,Guru Sains,Science Teacher
239910,2,Perunding Pembelajaran,Learning Consultant
239911,2,Guru,Teacher
241101,2,Akauntan Gred WA41,Accountant Grade WA41
241102,2,Pegawai Eksekutif (Perakaunan) Gred 41,Executive Officer (Accounting) Grade 41
241103,2,Pegawai Eksekutif (Perakaunan) Gred 9,Executive Officer (Accounting) Grade 9
241104,2,Pegawai Eksekutif (Perakaunan) Gred L5,Executive Officer (Accounting) Grade L5
241105,2,Akauntan Pengauditan,Auditing Accountant
241106,2,Akauntan,Accountant
241107,2,Akauntan Kos,Cost Accountant
241108,2,Akauntan Cukai,Tax Accountant
241109,2,Perunding Cukai,Tax Consultant
241110,2,Penyelesai,Liquidator
241111,2,Akauntan Awam,Public Accountant
241112,2,Akauntan Berkanun,Chartered Accountant
241113,2,Akauntan Kumpulan,Group Accountant
241114,2,Akauntan Pengurusan,Management Accountant
241115,2,Akauntan Perbandaran,Municipal Accountant
241116,2,Akauntan Syarikat,Company Accountant
241117,2,Eksekutif Akaun,Account Executive
241118,2,Pengawal Kos,Cost Controller
241119,2,Akauntan Bertauliah,Certified Accountant
241120,2,Pengawal Kewangan,Financial Controller
241121,2,Eksekutif Penerimaan Akaun,Account Receivable Executive
241122,2,Eksekutif Bayaran Akaun,Account Payable Executive
241123,2,Juruaudit Gred W41,Auditors Grade W41
241124,2,Pegawai Eksekutif (Pengauditan) Gred 41,Executive Officer (Auditing) Grade 41
241125,2,Juruaudit,Auditor
241126,2,Eksekutif Audit,Audit Executive
241127,2,Eksekutif Audit dan Pentaksiran Risiko,Audit and Risk Assessment Executive
241128,2,Pegawai Eksekutif (Pengauditan) Gred 9,Executive Officer (Auditing) Grade 9
241129,2,Pegawai Eksekutif (Pengauditan) Gred L5,Executive Officer (Auditing) Grade L5
241130,2,Eksekutif Gaji,Payroll Executive
241131,2,Akauntan Operasi,Operation Accountant
241132,2,Akauntan Pengeluaran,Production Accountant
241133,2,Akauntan Projek,Project Accountant
241134,2,Ketua Akauntan,Chief Accountants
241135,2,Akauntan Drilling,Drilling Accountants
241136,2,Ajuster,Adjuster
241137,2,Juruaudit Dalaman,Internal Auditor
241138,2,Akauntan Forensik,Forensic Accountant
241139,2,Penganggar Kos,Cost Estimator
241140,2,"Juruaudit, Industri Halal","Auditor, Halal Industry"
241141,2,Pegawai Eksekutif Akaun,Executive Account Officer
241142,2,Pegawai Akaun,Account Officer
241143,2,Akauntan Gred WA47,Accountant Grade WA47
241144,2,Akauntan Gred WA51,Accountant Grade WA51
241145,2,Akauntan Gred WA53,Accountant Grade WA53
241146,2,Akauntan Gred 23,Accountant Grade 23
241147,2,Pentadbir dan Eksekutif Akaun,Administrative and Account Executive
241148,2,Pakar Akaun,Account Specialist
241149,2,Juruanalisis Akaun,Account Analyst
241150,2,Pakar Strategi Teknologi (Akauntan),Technology Strategist (Account)
241151,2,Juruanalisis Kos,Cost Analyst
241152,2,Pakar Bayaran Akaun,Account Payable Specialist
241153,2,Penganalisis Pengurusan Perakaunan Am ,General Accounting Management Accounting (GAMA) Analyst
241154,2,Penyelaras Centralised Cylinder,Centralised Cylinder Coordinator
241201,2,Pegawai Kewangan Gred W41,Finance Officer Grade W41
241202,2,Pegawai Eksekutif (Kewangan) Gred L5,Executive Officer (Finance) Grade L5
241203,2,Penasihat Kewangan Korporat,Corporate Financial Adviser
241204,2,Penasihat Kewangan dan Pelaburan,Financial and Investment Adviser
241205,2,Penasihat E-Dagang,E-Commerce Adviser
241206,2,Eksekutif Kewangan,Finance Executive
241207,2,Eksekutif Pegawai Bank,Bank Executive Officer
241208,2,Perancang Kewangan,Financial Planner
241209,2,Perancang Estet,Estate Planner
241210,2,Eksekutif Hartanah,Property Executive
241211,2,Juruanalisis Jualan,Sales Analyst
241212,2,Penasihat Pelanggan,High-net-worth Client Adviser
241213,2,Penasihat Kewangan,Financial Adviser
241214,2,Pegawai Penilaian Gred W41,Evaluation Officer Grade W41
241215,2,Pegawai Kewangan,Financial Officer
241216,2,Perunding Kekayaan,Wealth Consultant
241217,2,Eksekutif Pajakan,Leasing Executive
241218,2,Pegawai Tadbir (Pelaburan) Gred N48,Administrative Officer (Investment) Grade N48
241219,2,Perunding Kewangan,Financial Consultant
241220,2,Eksekutif Pengurusan Aset,Asset Management Executive
241221,2,Perunding Pengurusan Modal Insan (HCM),Human Capital Management (HCM) Consultant
241222,2,Pakar Bancassurance,Bancassurance Specialist
241223,2,Pakar Pengurusan Modal Kerja,Working Capital Management Specialist
241224,2,Pakar Tender/Bid,Tendering/Bid Specialist
241301,2,Juruanalisis Kewangan,Financial Analyst
241302,2,Juruanalisis Bon,Bond Analyst
241303,2,Perunding Pelaburan,Investment Consultant
241304,2,Juruanalisis Operasi Risiko,Risk Operation Analyst
241305,2,Juruanalisis Harga,Pricing Analyst
241306,2,Juruanalisis Penyelidikan,Research Analyst
241307,2,Juruanalisis Hutang,Debt Analyst
241308,2,Juruanalisis Pelaburan,Investment Analyst
241309,2,Pakar Pencegahan Penipuan,Fraud Prevention Specialist
241310,2,Penganalisis Ekuiti,Equity Analyst
241311,2,Pegawai Pengurusan Risiko,Risk Management Officer
241312,2,Pegawai Risiko Pasaran,Market Risk Officer
241313,2,Pegawai Risiko Operasi,Operational Risk Officer
241314,2,Penganalisis Risiko,Risk Analyst
241315,2,Pemodel Resiko,Risk Modeller
241316,2,Perunding Harga Pemindahan,Transfer Pricing Consultant
241317,2,Perunding Penipuan dan Penyiasatan,Fraud and Investigation Consultant
241318,2,Penganalisis Laporan Kewangan,Financial Reporting Analyst
241319,2,Eksekutif Pengurusan Risiko Kredit,Credit Risk Management Executive
241320,2,Pembangun Kredit dan Pinjaman Produk,Credit and Lending Product Developer
241321,2,Pakar Pencegahan Wang Haram,Anti-Money Laundering Specialist
241322,2,Juruanalisis Gaji,Payroll Analyst
241323,2,Juruanalisis Perakaunan Bank,Bank Accounting Analyst
241324,2,Jurutera Pengurusan Risiko,Risk Management Engineer
241325,2,Juruanalisis Cukai,Tax Analyst
241326,2,Juruanalisis Bayaran Akaun,Account Payable Analyst
241327,2,Juruanalisis Perakaunan,Accounting Analyst
241328,2,Juruanalisis Penyelesaian,Settlement Analyst
241329,2,Juruanalisis Penipuan,Fraud Analyst
241330,2,Juruanalisis,Analyst
241331,2,Eksekutif Anti Pengubahan Wang Haram,Anti-Money Laundering Executive
